Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 10:18:52 UTC 2014,54.9662,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:18:57 UTC 2014,54.4759,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:19:02 UTC 2014,56.2104,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:19:07 UTC 2014,50.3868,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:19:12 UTC 2014,50.4461,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:19:17 UTC 2014,50.1793,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:19:22 UTC 2014,50.9475,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:19:27 UTC 2014,50.9475,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:19:32 UTC 2014,51.0878,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:19:38 UTC 2014,51.5202,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:19:43 UTC 2014,52.6945,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:19:48 UTC 2014,54.2413,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:19:53 UTC 2014,54.7701,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:19:58 UTC 2014,54.563,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:20:03 UTC 2014,54.5415,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:20:08 UTC 2014,56.2064,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:20:13 UTC 2014,56.4724,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:20:18 UTC 2014,56.8515,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:20:23 UTC 2014,56.9304,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:20:28 UTC 2014,55.0428,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:20:34 UTC 2014,54.2861,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:20:39 UTC 2014,55.5937,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:20:44 UTC 2014,57.0237,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:20:49 UTC 2014,57.0237,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:20:54 UTC 2014,56.3937,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:20:59 UTC 2014,56.3937,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:21:04 UTC 2014,57.0153,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:21:09 UTC 2014,58.0646,0.84,7.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:17 UTC 2014,58.1512,0.84,7.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:26 UTC 2014,57.9413,0.84,7.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:34 UTC 2014,56.3407,0.84,7.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:42 UTC 2014,56.1736,0.84,7.0,CassandraNode_scaleOut,CassandraNode
