Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:32:06 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:11 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:16 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:21 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:26 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:31 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:36 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:42 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:47 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:52 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:57 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:02 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:07 UTC 2014,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:12 UTC 2014,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:17 UTC 2014,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:22 UTC 2014,75.7727,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:27 UTC 2014,75.7727,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:32 UTC 2014,75.7727,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:37 UTC 2014,75.4717,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:42 UTC 2014,75.4717,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:47 UTC 2014,75.4717,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:53 UTC 2014,69.6088,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:33:58 UTC 2014,69.6088,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:03 UTC 2014,73.9521,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:08 UTC 2014,73.9521,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:13 UTC 2014,73.9521,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:18 UTC 2014,82.5871,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:23 UTC 2014,82.5871,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:29 UTC 2014,82.5871,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:34 UTC 2014,71.3427,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:39 UTC 2014,71.3427,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:44 UTC 2014,74.1517,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:49 UTC 2014,74.1517,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:54 UTC 2014,74.1517,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:34:59 UTC 2014,84.5771,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:04 UTC 2014,84.5771,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:09 UTC 2014,84.5771,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:14 UTC 2014,74.1742,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:19 UTC 2014,74.1742,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:25 UTC 2014,81.3373,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:30 UTC 2014,81.3373,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:35 UTC 2014,0.8016,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:40 UTC 2014,0.8016,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:45 UTC 2014,0.8016,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:50 UTC 2014,0.8016,0.12,1.0,AppServer_scaleIn,
