Time ,cpuUsage ,cost ,currentThreadsBusy ,memUsed ,requestThroughput ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 14:12:58 UTC 2014,75.189,0.24,15,33.3724,1.2292,2,,
Fri Feb 21 14:13:05 UTC 2014,57.013,0.24,15,35.1907,1.2452,2,,
Fri Feb 21 14:13:11 UTC 2014,57.013,0.24,15,35.1907,1.2452,2,,
Fri Feb 21 14:13:18 UTC 2014,57.013,0.24,15,35.1907,1.2452,2,,
Fri Feb 21 14:13:25 UTC 2014,57.013,0.24,15,35.1907,1.2452,2,,
Fri Feb 21 14:13:33 UTC 2014,57.013,0.24,15,35.1907,1.2452,2,,
Fri Feb 21 14:13:40 UTC 2014,57.013,0.24,15,35.1907,1.2452,2,,
Fri Feb 21 14:13:47 UTC 2014,57.013,0.24,15,35.1907,1.2452,2,,
Fri Feb 21 14:13:54 UTC 2014,57.013,0.24,15,35.1907,1.2452,2,,
Fri Feb 21 14:14:00 UTC 2014,57.013,0.24,15,35.1907,1.2452,2,,
Fri Feb 21 14:14:05 UTC 2014,70.7693,0.24,15.5,34.3808,1.3,2,,
Fri Feb 21 14:14:12 UTC 2014,70.7693,0.24,15.5,34.3808,1.3,2,,
Fri Feb 21 14:14:19 UTC 2014,70.7693,0.24,15.5,34.3808,1.3,2,,
Fri Feb 21 14:14:26 UTC 2014,70.7693,0.24,15.5,34.3808,1.3,2,,
Fri Feb 21 14:14:35 UTC 2014,70.7693,0.24,15.5,34.3808,1.3,2,,
Fri Feb 21 14:14:43 UTC 2014,70.7693,0.24,15.5,34.3808,1.3,2,,
Fri Feb 21 14:14:50 UTC 2014,70.7693,0.24,15.5,34.3808,1.3,2,,
Fri Feb 21 14:14:58 UTC 2014,70.7693,0.24,15.5,34.3808,1.3,2,,
Fri Feb 21 14:15:07 UTC 2014,70.7693,0.24,15.5,34.3808,1.3,2,,
Fri Feb 21 14:15:15 UTC 2014,70.7693,0.24,15.5,34.3808,1.3,2,,
Fri Feb 21 14:15:24 UTC 2014,65.2306,0.24,15,36.3646,1.3086,2,,
Fri Feb 21 14:15:31 UTC 2014,65.2306,0.24,15,36.3646,1.3086,2,,
Fri Feb 21 14:15:40 UTC 2014,65.2306,0.24,15,36.3646,1.3086,2,,
Fri Feb 21 14:15:46 UTC 2014,65.2306,0.24,15,36.3646,1.3086,2,,
Fri Feb 21 14:15:54 UTC 2014,65.2306,0.24,15,36.3646,1.3086,2,,
Fri Feb 21 14:16:03 UTC 2014,65.2306,0.24,15,36.3646,1.3086,2,,
Fri Feb 21 14:16:12 UTC 2014,65.2306,0.24,15,36.3646,1.3086,2,,
Fri Feb 21 14:16:19 UTC 2014,65.2306,0.24,15,36.3646,1.3086,2,,
Fri Feb 21 14:16:26 UTC 2014,65.2306,0.24,15,36.3646,1.3086,2,,
Fri Feb 21 14:16:35 UTC 2014,65.2306,0.24,15,34.163,1.3,2,AppServer_scaleOut,AppServer
Fri Feb 21 14:16:50 UTC 2014,76.0398,0.24,15.5,34.163,1.3,2,AppServer_scaleOut,AppServer
