Time ,cpuUsage ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:52:53 UTC 2014,52.8438,9,,
Thu Feb 20 13:52:59 UTC 2014,52.8438,9,,
Thu Feb 20 13:53:05 UTC 2014,53.6843,9,,
Thu Feb 20 13:53:10 UTC 2014,53.9904,9,,
Thu Feb 20 13:53:15 UTC 2014,53.3697,9,,
Thu Feb 20 13:53:21 UTC 2014,53.3697,9,,
Thu Feb 20 13:53:26 UTC 2014,51.9891,9,,
Thu Feb 20 13:53:31 UTC 2014,52.0389,9,,
Thu Feb 20 13:53:37 UTC 2014,52.0389,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:53:44 UTC 2014,51.7581,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:53:52 UTC 2014,52.1039,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:53:59 UTC 2014,51.1651,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:07 UTC 2014,49.9229,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:14 UTC 2014,49.9229,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:23 UTC 2014,49.3224,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:30 UTC 2014,53.0847,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:37 UTC 2014,56.256,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:46 UTC 2014,56.5961,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:53 UTC 2014,54.9784,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:00 UTC 2014,54.8118,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:08 UTC 2014,51.5393,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:16 UTC 2014,51.1013,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:23 UTC 2014,52.2241,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:31 UTC 2014,53.1858,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:38 UTC 2014,53.9176,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:46 UTC 2014,51.657,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:54 UTC 2014,51.842,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:01 UTC 2014,51.842,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:09 UTC 2014,49.2707,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:16 UTC 2014,48.1354,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:24 UTC 2014,51.9798,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:31 UTC 2014,51.1641,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:38 UTC 2014,50.1536,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:45 UTC 2014,49.6281,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:53 UTC 2014,49.2032,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:00 UTC 2014,49.2032,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:07 UTC 2014,50.8754,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:15 UTC 2014,52.3674,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:22 UTC 2014,51.4453,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:30 UTC 2014,48.1361,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:37 UTC 2014,49.9676,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:44 UTC 2014,51.0724,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:52 UTC 2014,51.4168,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:59 UTC 2014,53.3064,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:58:07 UTC 2014,52.2356,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:58:14 UTC 2014,50.2392,9,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:58:22 UTC 2014,45.2854,8,,
Thu Feb 20 13:58:28 UTC 2014,45.1999,8,,
Thu Feb 20 13:58:33 UTC 2014,45.1999,8,,
Thu Feb 20 13:58:38 UTC 2014,48.3866,8,,
Thu Feb 20 13:58:44 UTC 2014,48.3866,8,,
Thu Feb 20 13:58:49 UTC 2014,50.0389,8,,
Thu Feb 20 13:58:55 UTC 2014,50.0389,8,,
Thu Feb 20 13:59:00 UTC 2014,49.1463,8,,
Thu Feb 20 13:59:05 UTC 2014,49.1463,8,,
Thu Feb 20 13:59:11 UTC 2014,50.2545,8,,
