Time ,cost/client/h , ongoingAction, targetedNodeID
Tue Feb 18 09:59:02 UTC 2014,0.0033,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:09 UTC 2014,0.0033,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:15 UTC 2014,0.0033,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:21 UTC 2014,0.0033,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:27 UTC 2014,0.0033,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:33 UTC 2014,0.0033,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:39 UTC 2014,0.0033,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:45 UTC 2014,0.0033,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:51 UTC 2014,0.0037,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:57 UTC 2014,0.0037,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:04 UTC 2014,0.0099,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:10 UTC 2014,0.0111,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:16 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:22 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:28 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:35 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:41 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:47 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:53 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:59 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:05 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:11 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:17 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:23 UTC 2014,0.0052,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:29 UTC 2014,0.0074,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:35 UTC 2014,0.0074,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:41 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:47 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:01:54 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:00 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:06 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:12 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:18 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:24 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:30 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:36 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:42 UTC 2014,0.84,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:02:48 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:02:53 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:02:58 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:03 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:08 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:14 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:19 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:24 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:29 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:34 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:39 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:44 UTC 2014,0.72,DataNodeServiceUnit_scaleIn,
Tue Feb 18 10:03:49 UTC 2014,0.072,DataNodeServiceUnit_scaleIn,
