Time ,cost ,responseTime ,throughput ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 11:17:08 UTC 2014,0.72,8.1667,135.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:17:21 UTC 2014,0.72,8.1667,135.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:17:26 UTC 2014,0.72,8.1667,135.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:17:33 UTC 2014,0.72,10.0,150.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:17:42 UTC 2014,0.72,10.0,150.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:17:51 UTC 2014,0.72,10.0,150.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:17:58 UTC 2014,0.72,10.0,150.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:18:04 UTC 2014,0.72,6.8333,156.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:18:11 UTC 2014,0.72,6.8333,156.0,6.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 11:18:27 UTC 2014,0.72,6.8333,156.0,6.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 11:18:37 UTC 2014,0.72,10.3333,205.0,6.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 11:18:47 UTC 2014,0.72,13.1667,189.0,6.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 11:18:59 UTC 2014,0.72,13.1667,189.0,6.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 11:19:11 UTC 2014,0.72,13.1667,189.0,6.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 11:19:23 UTC 2014,0.72,12.5,151.0,6.0,DataNodeServiceUnit_scaleOut,
