Time ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:17:33 UTC 2014,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:39 UTC 2014,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:41:31 UTC 2014,4.3232,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:36 UTC 2014,5.3803,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:41 UTC 2014,5.3803,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:46 UTC 2014,5.3134,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:51 UTC 2014,5.2884,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:56 UTC 2014,4.606,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:01 UTC 2014,4.729,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:06 UTC 2014,4.5251,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:12 UTC 2014,3.5586,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:17 UTC 2014,3.6399,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:22 UTC 2014,3.6329,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:27 UTC 2014,3.6329,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:32 UTC 2014,3.7105,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:37 UTC 2014,4.8152,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:42 UTC 2014,3.8578,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:47 UTC 2014,3.8577,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:52 UTC 2014,3.8577,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:57 UTC 2014,4.3086,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:02 UTC 2014,4.1763,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:07 UTC 2014,4.1763,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:12 UTC 2014,3.9714,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:18 UTC 2014,3.9963,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:23 UTC 2014,4.3116,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:28 UTC 2014,3.874,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:33 UTC 2014,3.874,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:43:38 UTC 2014,3.4714,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:43:45 UTC 2014,3.8394,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:43:52 UTC 2014,3.9545,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:43:59 UTC 2014,4.073,4.0,CassandraNode_scaleOut,CassandraNode
