Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:33:42 UTC 2014,37.8361,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:33:47 UTC 2014,37.8361,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:33:52 UTC 2014,34.9047,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:33:58 UTC 2014,34.9047,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:34:03 UTC 2014,37.1014,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:34:08 UTC 2014,37.1014,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:34:13 UTC 2014,37.1014,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:34:18 UTC 2014,41.4188,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:34:23 UTC 2014,41.4188,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:34:28 UTC 2014,41.3938,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:34:33 UTC 2014,35.7716,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:34:38 UTC 2014,35.7716,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:34:43 UTC 2014,37.1761,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:34:48 UTC 2014,37.3013,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:34:53 UTC 2014,37.3013,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:34:59 UTC 2014,42.514,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:35:04 UTC 2014,42.514,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:35:09 UTC 2014,42.514,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:35:14 UTC 2014,37.3125,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:35:19 UTC 2014,37.3125,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:35:24 UTC 2014,40.7689,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:35:29 UTC 2014,40.7689,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:35:34 UTC 2014,40.7689,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:35:39 UTC 2014,0.5011,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:35:44 UTC 2014,0.5011,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:35:49 UTC 2014,0.5513,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:35:54 UTC 2014,1.003,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:35:59 UTC 2014,1.003,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:36:04 UTC 2014,1.4596,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:36:09 UTC 2014,1.4596,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:36:14 UTC 2014,2.1162,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:36:20 UTC 2014,1.9908,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:36:25 UTC 2014,1.9908,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:36:30 UTC 2014,1.9908,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:36:35 UTC 2014,2.8923,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:36:40 UTC 2014,2.8923,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:36:45 UTC 2014,2.9273,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:36:50 UTC 2014,3.0276,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:36:55 UTC 2014,3.7003,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:37:00 UTC 2014,3.7003,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:37:05 UTC 2014,3.7003,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:37:10 UTC 2014,3.7003,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:37:15 UTC 2014,4.0489,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:37:20 UTC 2014,3.802,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:37:25 UTC 2014,3.802,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:37:31 UTC 2014,3.802,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:37:36 UTC 2014,4.4721,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:37:41 UTC 2014,4.4721,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:37:46 UTC 2014,4.4721,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:37:51 UTC 2014,5.0606,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:37:57 UTC 2014,5.0606,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:02 UTC 2014,4.7415,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:07 UTC 2014,4.7415,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:12 UTC 2014,4.7415,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:17 UTC 2014,5.5054,0.24,2.0,CassandraNode_scaleIn,
