Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 10:18:01 UTC 2014,62.6432,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:18:06 UTC 2014,57.7112,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:18:11 UTC 2014,57.4758,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:18:16 UTC 2014,57.4758,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:18:21 UTC 2014,57.4758,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:18:26 UTC 2014,54.9073,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:18:31 UTC 2014,54.9073,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:18:36 UTC 2014,54.9073,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:18:41 UTC 2014,73.0394,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:18:47 UTC 2014,73.0394,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:18:52 UTC 2014,70.3101,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:18:57 UTC 2014,70.3101,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:19:02 UTC 2014,70.3101,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:19:07 UTC 2014,58.0304,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:19:12 UTC 2014,58.1491,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:19:17 UTC 2014,58.1491,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:19:22 UTC 2014,59.3022,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:19:27 UTC 2014,59.3022,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:19:32 UTC 2014,57.63,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:19:37 UTC 2014,58.7114,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:19:43 UTC 2014,60.3376,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:19:48 UTC 2014,63.5865,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:19:53 UTC 2014,63.5865,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:19:58 UTC 2014,63.5865,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:20:03 UTC 2014,63.4256,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:20:08 UTC 2014,66.6604,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:20:13 UTC 2014,67.1924,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:20:18 UTC 2014,67.1924,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:20:23 UTC 2014,67.1924,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:20:28 UTC 2014,66.9668,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:20:34 UTC 2014,66.9668,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:20:39 UTC 2014,66.9994,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:20:44 UTC 2014,67.6959,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:20:49 UTC 2014,67.6959,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:20:54 UTC 2014,66.8413,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:20:59 UTC 2014,67.2099,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:21:04 UTC 2014,67.2099,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:21:09 UTC 2014,69.1105,0.36,3.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:17 UTC 2014,69.1105,0.36,3.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:25 UTC 2014,69.5328,0.36,3.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:33 UTC 2014,66.4201,0.36,3.0,CassandraNode_scaleOut,CassandraNode
