Time ,memUsage ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:49:43 UTC 2014,9.9681,0.1002,0.12,1,,
Thu Feb 20 13:49:49 UTC 2014,9.9681,0.1002,0.12,1,,
Thu Feb 20 13:49:55 UTC 2014,9.9621,0.1002,0.12,1,,
Thu Feb 20 13:50:00 UTC 2014,9.9621,0.1002,0.12,1,,
Thu Feb 20 13:50:06 UTC 2014,9.9681,0.2002,0.12,1,,
Thu Feb 20 13:50:12 UTC 2014,9.9681,0.2002,0.12,1,,
Thu Feb 20 13:50:18 UTC 2014,9.9681,0.2002,0.12,1,,
Thu Feb 20 13:50:23 UTC 2014,9.9681,0.2002,0.12,1,,
Thu Feb 20 13:50:28 UTC 2014,9.9681,0.3,0.12,1,,
Thu Feb 20 13:50:34 UTC 2014,9.9681,0.3,0.12,1,,
Thu Feb 20 13:50:39 UTC 2014,9.9681,0.3,0.12,1,,
Thu Feb 20 13:50:44 UTC 2014,9.9681,0.2,0.12,1,,
Thu Feb 20 13:50:50 UTC 2014,9.9681,0.2,0.12,1,,
Thu Feb 20 13:50:56 UTC 2014,9.9621,0.2,0.12,1,,
Thu Feb 20 13:51:01 UTC 2014,9.9621,0.2,0.12,1,,
Thu Feb 20 13:51:06 UTC 2014,9.9621,0.1002,0.12,1,,
Thu Feb 20 13:51:11 UTC 2014,9.9621,0.1002,0.12,1,,
Thu Feb 20 13:51:17 UTC 2014,9.9621,0.1002,0.12,1,,
Thu Feb 20 13:51:24 UTC 2014,9.9681,0.2002,0.12,1,,
Thu Feb 20 13:51:29 UTC 2014,9.9681,0.2002,0.12,1,,
Thu Feb 20 13:51:34 UTC 2014,9.9681,0.2002,0.12,1,,
Thu Feb 20 13:51:40 UTC 2014,9.9665,0.2,0.12,1,,
Thu Feb 20 13:51:45 UTC 2014,9.9665,0.2,0.12,1,,
Thu Feb 20 13:51:50 UTC 2014,9.9665,0.2,0.12,1,,
Thu Feb 20 13:51:56 UTC 2014,9.9605,0,0.12,1,,
Thu Feb 20 13:52:01 UTC 2014,9.9605,0,0.12,1,,
Thu Feb 20 13:52:07 UTC 2014,9.9605,0,0.12,1,,
Thu Feb 20 13:52:13 UTC 2014,9.9605,0.1001,0.12,1,,
Thu Feb 20 13:52:18 UTC 2014,9.9605,0.1001,0.12,1,,
Thu Feb 20 13:52:23 UTC 2014,9.9665,0.2002,0.12,1,,
Thu Feb 20 13:52:29 UTC 2014,9.9665,0.2002,0.12,1,,
Thu Feb 20 13:52:34 UTC 2014,9.9665,0,0.12,1,,
Thu Feb 20 13:52:40 UTC 2014,9.9665,0,0.12,1,,
Thu Feb 20 13:52:45 UTC 2014,9.9665,0,0.12,1,,
Thu Feb 20 13:52:51 UTC 2014,9.9605,0,0.12,1,,
Thu Feb 20 13:52:56 UTC 2014,9.9605,0,0.12,1,,
Thu Feb 20 13:53:02 UTC 2014,9.9605,0,0.12,1,,
Thu Feb 20 13:53:07 UTC 2014,9.9605,0,0.12,1,,
Thu Feb 20 13:53:12 UTC 2014,9.9605,0,0.12,1,,
Thu Feb 20 13:53:18 UTC 2014,9.9605,0,0.12,1,,
Thu Feb 20 13:53:23 UTC 2014,9.9605,0,0.12,1,,
Thu Feb 20 13:53:28 UTC 2014,9.9605,0,0.12,1,,
Thu Feb 20 13:53:34 UTC 2014,9.9605,0,0.12,1,,
Thu Feb 20 13:53:39 UTC 2014,9.9605,0,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:53:49 UTC 2014,9.9605,0.1002,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:53:58 UTC 2014,9.9605,0.1002,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:07 UTC 2014,10.0094,0.3009,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:18 UTC 2014,10.0094,0.3009,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:28 UTC 2014,9.9913,0.2002,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:37 UTC 2014,10.0036,0.1001,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:47 UTC 2014,10.0036,0.1001,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:54:57 UTC 2014,9.9675,0.1001,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:06 UTC 2014,9.9675,0.1001,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:16 UTC 2014,9.9667,0.3,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:25 UTC 2014,9.9667,0.2002,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:34 UTC 2014,9.9667,0.2002,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:44 UTC 2014,9.9607,0.1002,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:55:54 UTC 2014,9.9607,0.2,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:03 UTC 2014,9.9607,0.2,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:12 UTC 2014,9.9607,0.2997,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:22 UTC 2014,9.9607,0.2997,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:31 UTC 2014,9.9667,0.2997,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:40 UTC 2014,9.9607,0.2997,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:50 UTC 2014,9.9607,0.2997,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:56:59 UTC 2014,9.9607,0.2,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:08 UTC 2014,9.9607,0.2004,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:18 UTC 2014,9.9607,0.1,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:27 UTC 2014,9.9667,0.1,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:37 UTC 2014,9.9667,0.1001,0.12,1,CassandraNode_scaleIn,CassandraNode
Thu Feb 20 13:57:46 UTC 2014,9.9667,0.1001,0.12,1,CassandraNode_scaleIn,CassandraNode
