Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:45:16 UTC 2014,41.71,0.36,3,,
Thu Feb 20 13:45:22 UTC 2014,41.71,0.36,3,,
Thu Feb 20 13:45:27 UTC 2014,49.7598,0.36,3,,
Thu Feb 20 13:45:33 UTC 2014,49.7598,0.36,3,,
Thu Feb 20 13:45:38 UTC 2014,49.7598,0.36,3,,
Thu Feb 20 13:45:44 UTC 2014,49.7598,0.36,3,,
Thu Feb 20 13:45:49 UTC 2014,49.7598,0.36,3,,
Thu Feb 20 13:45:54 UTC 2014,55.4937,0.36,3,,
Thu Feb 20 13:45:59 UTC 2014,55.6617,0.36,3,,
Thu Feb 20 13:46:05 UTC 2014,55.6617,0.36,3,,
Thu Feb 20 13:46:10 UTC 2014,55.6617,0.36,3,,
Thu Feb 20 13:46:16 UTC 2014,55.6617,0.36,3,,
Thu Feb 20 13:46:21 UTC 2014,50.8724,0.36,3,,
Thu Feb 20 13:46:27 UTC 2014,50.8724,0.36,3,,
Thu Feb 20 13:46:32 UTC 2014,50.8724,0.36,3,,
Thu Feb 20 13:46:38 UTC 2014,50.8724,0.36,3,,
Thu Feb 20 13:46:43 UTC 2014,50.8724,0.36,3,,
Thu Feb 20 13:46:49 UTC 2014,51.396,0.36,3,,
Thu Feb 20 13:46:54 UTC 2014,42.6583,0.36,3,,
Thu Feb 20 13:46:59 UTC 2014,42.6583,0.36,3,,
Thu Feb 20 13:47:04 UTC 2014,42.6583,0.36,3,,
Thu Feb 20 13:47:10 UTC 2014,52.6039,0.36,3,,
Thu Feb 20 13:47:16 UTC 2014,52.6039,0.36,3,,
Thu Feb 20 13:47:21 UTC 2014,52.6039,0.36,3,,
Thu Feb 20 13:47:27 UTC 2014,66.3324,0.36,3,,
Thu Feb 20 13:47:32 UTC 2014,66.3324,0.36,3,,
Thu Feb 20 13:47:37 UTC 2014,66.3324,0.36,3,,
Thu Feb 20 13:47:43 UTC 2014,66.3324,0.36,3,,
Thu Feb 20 13:47:48 UTC 2014,63.6833,0.36,3,,
Thu Feb 20 13:47:54 UTC 2014,63.6833,0.36,3,,
Thu Feb 20 13:47:59 UTC 2014,63.6833,0.36,3,,
Thu Feb 20 13:48:05 UTC 2014,63.6833,0.36,3,,
Thu Feb 20 13:48:10 UTC 2014,63.6833,0.36,3,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:19 UTC 2014,52.4849,0.36,3,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:27 UTC 2014,52.4849,0.36,3,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:37 UTC 2014,52.4849,0.36,3,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:45 UTC 2014,52.9827,0.36,3,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:54 UTC 2014,52.9827,0.36,3,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:49:03 UTC 2014,58.8902,0.36,3,,
Thu Feb 20 13:49:09 UTC 2014,58.8902,0.36,3,,
Thu Feb 20 13:49:15 UTC 2014,64.0799,0.48,4,,
Thu Feb 20 13:49:20 UTC 2014,64.0799,0.48,4,,
Thu Feb 20 13:49:26 UTC 2014,64.0799,0.48,4,,
Thu Feb 20 13:49:31 UTC 2014,60.3084,0.48,4,,
Thu Feb 20 13:49:36 UTC 2014,59.7712,0.48,4,,
Thu Feb 20 13:49:42 UTC 2014,59.7712,0.48,4,,
Thu Feb 20 13:49:47 UTC 2014,59.7712,0.48,4,,
Thu Feb 20 13:49:53 UTC 2014,59.7712,0.48,4,,
Thu Feb 20 13:49:58 UTC 2014,59.7712,0.48,4,,
Thu Feb 20 13:50:03 UTC 2014,64.5348,0.48,4,,
Thu Feb 20 13:50:09 UTC 2014,64.5348,0.48,4,,
Thu Feb 20 13:50:14 UTC 2014,64.5348,0.48,4,,
Thu Feb 20 13:50:20 UTC 2014,64.5348,0.48,4,,
Thu Feb 20 13:50:25 UTC 2014,64.5348,0.48,4,,
Thu Feb 20 13:50:30 UTC 2014,64.5348,0.48,4,,
Thu Feb 20 13:50:36 UTC 2014,46.3821,0.48,4,,
Thu Feb 20 13:50:41 UTC 2014,46.3821,0.48,4,,
Thu Feb 20 13:50:47 UTC 2014,59.7866,0.48,4,,
Thu Feb 20 13:50:53 UTC 2014,59.7866,0.48,4,,
Thu Feb 20 13:50:58 UTC 2014,59.7866,0.48,4,,
Thu Feb 20 13:51:04 UTC 2014,59.7866,0.48,4,,
Thu Feb 20 13:51:10 UTC 2014,74.3864,0.48,4,,
Thu Feb 20 13:51:15 UTC 2014,66.3186,0.48,4,,
Thu Feb 20 13:51:21 UTC 2014,66.3186,0.48,4,,
Thu Feb 20 13:51:26 UTC 2014,65.411,0.48,4,,
Thu Feb 20 13:51:32 UTC 2014,67.2287,0.48,4,,
Thu Feb 20 13:51:37 UTC 2014,67.2287,0.48,4,,
Thu Feb 20 13:51:42 UTC 2014,73.5628,0.48,4,,
Thu Feb 20 13:51:48 UTC 2014,73.5628,0.48,4,,
Thu Feb 20 13:51:53 UTC 2014,64.4665,0.48,4,,
Thu Feb 20 13:51:59 UTC 2014,64.4665,0.48,4,,
Thu Feb 20 13:52:05 UTC 2014,64.4665,0.48,4,,
Thu Feb 20 13:52:10 UTC 2014,64.4665,0.48,4,,
Thu Feb 20 13:52:15 UTC 2014,64.4665,0.48,4,,
